Markets,Stores,Population,Population_Density,Median_Age_2017,Age_of_Store,Branded TAPA,Branded Cost
"BURLINGTON-PLATTSBURGH, VT-NY",35,155291.15,1183.24,38.5,93,301831,39885
CEDAR RAPIDS-WTRLO-IWC&DUB,106,217214.62,1466.16,35.6,71,267273,34855
CHAMPAIGN&SPRNGFLD-DECATUR,86,180875.87,1097.59,32.2,67,190180,34544
"CHARLESTON, SC",30,81579.71,442.97,35.9,63,165569,23810
CHARLESTON-HUNTINGTON,37,150715.83,1257.56,37.2,59,58420,6309
CHARLOTTE,48,122158.03,947.23,39.4,86,31920,5171
"CHATTANOOGA, TN",79,160713.97,821.26,37.3,85,240210,28226
"CHICAGO, IL",126,328818.26,1569.12,38.7,94,175187,21938
"CINCINNATI, OH",26,54778.5,344.2,37.1,75,122929,22772
CLARKSBURG-WESTON,16,163700.2,874.94,39.2,52,239681,29922
"CLEVELAND, OH",73,86572.82,573.02,40,67,132923,25671
"COLUMBIA, SC",44,181094.23,1242.14,38.5,48,42178,9173
"COLUMBIA-JEFFERSON CITY, MO (III",26,81450.4,481.87,34.9,55,65986,7420
"COLUMBUS, GA",105,180653.64,1984.97,33.8,37,217046,40637
"COLUMBUS, OH",10,60240.14,546.33,29.8,21,227449,32407
COLUMBUS-TUPELO-WEST POINT,7,41299.77,343.92,35.3,2,140373,30636
"CORPUS CHRISTI, TX",18,56292.11,317.19,26.7,9,91746,28061
DAVENPORT-R.ISLAND-MOLINE,46,58529.77,887.89,41.8,20,88415,23071
"DAYTON, OH",67,83584.09,714.96,40.4,60,51343,9797
DES MOINES-AMES,250,442289.78,2446.7,38.6,48,46699,7683
"DETROIT, MI",65,40919.46,317.42,39.5,43,254062,38970
"DOTHAN, AL",23,46147.81,250.86,38.6,36,135938,31207
"DULUTH-SUPERIOR, MN-WI",147,103747.83,596.62,38.1,54,128527,25946
ELMIRA,21,54669.52,428.06,38.7,17,10516,8124
"ERIE, PA",45,303797.3,1872.83,41.3,13,84758,24622
EUGENE,61,258644.77,2078.82,38.8,15,38037,8708
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,34826,6865
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,170488,44076
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,115785,36604
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,76711,32519
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,36146,32314
"EVANSVILLE, IN",173,454925.5,2629.04,40.6,13,41295,8412
